Reactome,m,proteins
DNA methylation,33,DNM3A_HUMAN;DNM3L_HUMAN;DNM3B_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;UHRF1_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;H33_HUMAN;H31_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;H2B1B_HUMAN;DNMT1_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2AX_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;
DNA replication initiation,7,DPOE3_HUMAN;DPOE4_HUMAN;DPOA2_HUMAN;DPOE1_HUMAN;DPOE2_HUMAN;PRI2_HUMAN;PRI1_HUMAN;
Dopamine Neurotransmitter Release Cycle,22,LIN7C_HUMAN;LIN7B_HUMAN;SYN2_HUMAN;RIMS1_HUMAN;STX1A_HUMAN;LIPA1_HUMAN;VMAT2_HUMAN;APBA1_HUMAN;VAMP2_HUMAN;SNP25_HUMAN;SYT1_HUMAN;RAB3A_HUMAN;SYN1_HUMAN;RIMB1_HUMAN;LIPA4_HUMAN;LIPA2_HUMAN;LIPA3_HUMAN;SYN3_HUMAN;CSKP_HUMAN;LIN7A_HUMAN;CPLX1_HUMAN;UN13B_HUMAN;
Dopamine receptors,4,DRD3_HUMAN;DRD5_HUMAN;DRD4_HUMAN;DRD1_HUMAN;
Downregulation of ERBB2 signaling,24,CHIP_HUMAN;PTN18_HUMAN;HBEGF_HUMAN;LAP2_HUMAN;CUL5_HUMAN;NRG4_HUMAN;CDC37_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;PTN12_HUMAN;NRG1_HUMAN;NRG1_HUMAN;RL40_HUMAN;RS27A_HUMAN;NRG3_HUMAN;MATK_HUMAN;BTC_HUMAN;UBC_HUMAN;UBB_HUMAN;HS90A_HUMAN;ERBB2_HUMAN;EGF_HUMAN;EGFR_HUMAN;EREG_HUMAN;
Downregulation of ERBB2:ERBB3 signaling,12,AKT3_HUMAN;RNF41_HUMAN;NRG1_HUMAN;NRG1_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBP8_HUMAN;AKT2_HUMAN;AKT1_HUMAN;UBC_HUMAN;UBB_HUMAN;ERBB2_HUMAN;
Downregulation of ERBB4 signaling,8,WWP1_HUMAN;ITCH_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;RL40_HUMAN;RS27A_HUMAN;NEDD4_HUMAN;UBC_HUMAN;
Downregulation of SMAD2/3:SMAD4 transcriptional activity,34,NCOR2_HUMAN;NCOR2_HUMAN;TRI33_HUMAN;SMUF2_HUMAN;SMUF2_HUMAN;TGIF2_HUMAN;NED4L_HUMAN;USP9X_HUMAN;RN111_HUMAN;SMAD2_HUMAN;SMAD2_HUMAN;TGIF1_HUMAN;HDAC1_HUMAN;SMAD4_HUMAN;SMAD4_HUMAN;SMAD3_HUMAN;SMAD3_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;UB2D3_HUMAN;UB2D1_HUMAN;PPM1A_HUMAN;SKIL_HUMAN;SKIL_HUMAN;SKI_HUMAN;SKI_HUMAN;UBC_HUMAN;UBC_HUMAN;UBB_HUMAN;UBB_HUMAN;PARP1_HUMAN;NCOR1_HUMAN;
Downregulation of TGF-beta receptor signaling,34,UCHL5_HUMAN;UBP15_HUMAN;STRAP_HUMAN;STRAP_HUMAN;CHIP_HUMAN;MTMR4_HUMAN;SMUF1_HUMAN;SMUF2_HUMAN;SMUF2_HUMAN;NED4L_HUMAN;PMEPA_HUMAN;SMAD2_HUMAN;BAMBI_HUMAN;SMAD3_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;PP1B_HUMAN;PP1A_HUMAN;TGFR2_HUMAN;TGFR2_HUMAN;TGFR1_HUMAN;TGFR1_HUMAN;PP1G_HUMAN;UBC_HUMAN;UBC_HUMAN;UBB_HUMAN;UBB_HUMAN;TGFB1_HUMAN;TGFB1_HUMAN;PR15A_HUMAN;SMAD7_HUMAN;SMAD7_HUMAN;
Downstream signal transduction,27,GRB7_HUMAN;RPGF1_HUMAN;SOS1_HUMAN;PTN11_HUMAN;BCAR1_HUMAN;STA5B_HUMAN;CRKL_HUMAN;CRK_HUMAN;PK3CB_HUMAN;PK3CA_HUMAN;STA5A_HUMAN;STAT6_HUMAN;STAT1_HUMAN;STAT3_HUMAN;P85A_HUMAN;RASA1_HUMAN;PLCG1_HUMAN;NCK1_HUMAN;PGFRA_HUMAN;SRC_HUMAN;PGFRB_HUMAN;PDGFA_HUMAN;PDGFB_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;NCK2_HUMAN;
Downstream signaling of activated FGFR1,14,KLOT_HUMAN;FLRT1_HUMAN;FLRT3_HUMAN;FGF20_HUMAN;FGF22_HUMAN;FGF23_HUMAN;FGF9_HUMAN;FGF3_HUMAN;FGFR1_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;FLRT2_HUMAN;
Downstream TCR signaling,113,NEMO_HUMAN;TRAF6_HUMAN;FBW1A_HUMAN;PSD13_HUMAN;PSME2_HUMAN;FBW1B_HUMAN;MALT1_HUMAN;2B19_HUMAN;TAB2_HUMAN;2B1E_HUMAN;CAR11_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;2B1C_HUMAN;SHIP1_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;TRAT1_HUMAN;2B1D_HUMAN;2B1A_HUMAN;DRB5_HUMAN;2B18_HUMAN;2B1G_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL1_HUMAN;UB2V1_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;KPCT_HUMAN;TF65_HUMAN;DRB3_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;UB2D2_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;UBE2N_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PTEN_HUMAN;PSMD4_HUMAN;UB2D1_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;UB2R1_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PK3CB_HUMAN;PK3CA_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;P85A_HUMAN;IKBA_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;2B1B_HUMAN;DPA1_HUMAN;NFKB1_HUMAN;PRS6A_HUMAN;DRB4_HUMAN;2B17_HUMAN;2B14_HUMAN;UBC_HUMAN;UBB_HUMAN;CD3G_HUMAN;CD3E_HUMAN;LCK_HUMAN;DQB2_HUMAN;DPB1_HUMAN;TVA2_HUMAN;TVB2_HUMAN;CD3D_HUMAN;2B11_HUMAN;DQB1_HUMAN;2B13_HUMAN;2B1F_HUMAN;DQA1_HUMAN;DQA2_HUMAN;DRA_HUMAN;TRBC1_HUMAN;TCA_HUMAN;TVA3_HUMAN;TVB1_HUMAN;CD4_HUMAN;BCL10_HUMAN;PSD10_HUMAN;RIPK2_HUMAN;M3K7_HUMAN;PSMD3_HUMAN;PDPK1_HUMAN;IKKA_HUMAN;IKKB_HUMAN;PSA7_HUMAN;PSDE_HUMAN;P85B_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
DSCAM interactions,11,DSCL1_HUMAN;MK14_HUMAN;MK11_HUMAN;PAK1_HUMAN;RAC1_HUMAN;MK12_HUMAN;MK08_HUMAN;DCC_HUMAN;NET1_HUMAN;DSCAM_HUMAN;DSCAM_HUMAN;
Dual Incision in GG-NER,40,PARP2_HUMAN;POLK_HUMAN;DPOE3_HUMAN;DPOE4_HUMAN;DPOD4_HUMAN;XPF_HUMAN;TF2H4_HUMAN;DDB2_HUMAN;CHD1L_HUMAN;TF2H5_HUMAN;DDB1_HUMAN;DPOD3_HUMAN;TF2H3_HUMAN;TF2H2_HUMAN;CUL4B_HUMAN;CUL4A_HUMAN;DPOE1_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;DPOE2_HUMAN;DPOD2_HUMAN;RFC3_HUMAN;RFC5_HUMAN;RFC1_HUMAN;RFC2_HUMAN;RFC4_HUMAN;RFA3_HUMAN;TF2H1_HUMAN;ERCC5_HUMAN;DPOD1_HUMAN;RFA1_HUMAN;XPA_HUMAN;ERCC3_HUMAN;ERCC2_HUMAN;RFA2_HUMAN;PCNA_HUMAN;UBC_HUMAN;UBB_HUMAN;PARP1_HUMAN;
Dual incision in TC-NER,64,PPIE_HUMAN;PRP19_HUMAN;ISY1_HUMAN;POLK_HUMAN;DPOE3_HUMAN;DPOE4_HUMAN;DPOD4_HUMAN;SYF1_HUMAN;ZN830_HUMAN;UBP7_HUMAN;XPF_HUMAN;TF2H4_HUMAN;TF2H5_HUMAN;UVSSA_HUMAN;DDB1_HUMAN;DPOD3_HUMAN;TF2H3_HUMAN;TF2H2_HUMAN;CUL4B_HUMAN;CUL4A_HUMAN;ERCC8_HUMAN;EP300_HUMAN;DPOE1_HUMAN;ERCC6_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;RPAB5_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;DPOE2_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;MAT1_HUMAN;CCNH_HUMAN;CDK7_HUMAN;DPOD2_HUMAN;RFC3_HUMAN;RFC5_HUMAN;RPB9_HUMAN;RFC1_HUMAN;RFC2_HUMAN;RFC4_HUMAN;RFA3_HUMAN;TF2H1_HUMAN;RPB2_HUMAN;ERCC5_HUMAN;DPOD1_HUMAN;RFA1_HUMAN;RPB1_HUMAN;TCEA1_HUMAN;XPA_HUMAN;ERCC3_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;ERCC2_HUMAN;RFA2_HUMAN;PCNA_HUMAN;UBC_HUMAN;UBB_HUMAN;ERCC1_HUMAN;HMGN1_HUMAN;AQR_HUMAN;
E2F-enabled inhibition of pre-replication complex formation,8,ORC6_HUMAN;MCM8_HUMAN;ORC3_HUMAN;ORC2_HUMAN;ORC1_HUMAN;CCNB1_HUMAN;CDK1_HUMAN;ORC4_HUMAN;
E3 ubiquitin ligases ubiquitinate target proteins,55,RN181_HUMAN;RAD18_HUMAN;WDR61_HUMAN;DERL1_HUMAN;WAC_HUMAN;SELS_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;PEX13_HUMAN;RTF1_HUMAN;LEO1_HUMAN;RN152_HUMAN;PAF1_HUMAN;UB2J2_HUMAN;RRAGA_HUMAN;CTR9_HUMAN;CDC73_HUMAN;BRE1A_HUMAN;UB2V2_HUMAN;SHPRH_HUMAN;HLTF_HUMAN;PRKDC_HUMAN;UB2L3_HUMAN;UBE2B_HUMAN;RL40_HUMAN;RS27A_HUMAN;UB2D2_HUMAN;H2B1C_HUMAN;UBE2N_HUMAN;UB2D3_HUMAN;H2B1D_HUMAN;TERA_HUMAN;UB2E1_HUMAN;UB2D1_HUMAN;R144A_HUMAN;PEX5_HUMAN;UBE2A_HUMAN;H2B1B_HUMAN;PEX2_HUMAN;H2B1O_HUMAN;PCNA_HUMAN;UBC_HUMAN;UBB_HUMAN;H2B1J_HUMAN;1A03_HUMAN;1A02_HUMAN;BCL10_HUMAN;PEX14_HUMAN;BRE1B_HUMAN;H2B1K_HUMAN;PEX10_HUMAN;PEX12_HUMAN;
Early Phase of HIV Life Cycle,2,PPIA_HUMAN;FEN1_HUMAN;
ECM proteoglycans,89,TENN_HUMAN;DSPP_HUMAN;ASPN_HUMAN;PGCB_HUMAN;TENR_HUMAN;LAMA3_HUMAN;LAMA4_HUMAN;DAG1_HUMAN;DAG1_HUMAN;CO9A2_HUMAN;CO9A3_HUMAN;CO4A6_HUMAN;ITA9_HUMAN;ITA7_HUMAN;PTPRS_HUMAN;DMP1_HUMAN;FMOD_HUMAN;CO4A3_HUMAN;PGBM_HUMAN;TGFB2_HUMAN;LAMB2_HUMAN;ITA8_HUMAN;CO4A4_HUMAN;LUM_HUMAN;COMP_HUMAN;CO4A5_HUMAN;CO5A3_HUMAN;LAMA1_HUMAN;TENA_HUMAN;LAMA2_HUMAN;TENX_HUMAN;MATN1_HUMAN;SIAL_HUMAN;PGS1_HUMAN;PGS1_HUMAN;CO5A1_HUMAN;CO9A1_HUMAN;ITAX_HUMAN;ITB6_HUMAN;ITB5_HUMAN;ITA2_HUMAN;PGCA_HUMAN;CSPG2_HUMAN;NCAM1_HUMAN;CO6A3_HUMAN;CO6A3_HUMAN;CO6A2_HUMAN;CO6A2_HUMAN;CO6A1_HUMAN;CO6A1_HUMAN;LAMC1_HUMAN;HPLN1_HUMAN;TGFB3_HUMAN;SPRC_HUMAN;CO4A2_HUMAN;ITA2B_HUMAN;CO1A2_HUMAN;CO1A2_HUMAN;LAMB1_HUMAN;PGS2_HUMAN;PGS2_HUMAN;ITAV_HUMAN;CO5A2_HUMAN;ITB1_HUMAN;PAI1_HUMAN;ITB3_HUMAN;A4_HUMAN;VTNC_HUMAN;VTNC_HUMAN;FINC_HUMAN;CO4A1_HUMAN;CO3A1_HUMAN;CO3A1_HUMAN;CO2A1_HUMAN;CO2A1_HUMAN;CO1A1_HUMAN;CO1A1_HUMAN;TGFB1_HUMAN;MATN4_HUMAN;LRP4_HUMAN;MATN3_HUMAN;LAMA5_HUMAN;MUSK_HUMAN;NCAN_HUMAN;AGRIN_HUMAN;AGRIN_HUMAN;CO6A5_HUMAN;CO6A5_HUMAN;CO6A6_HUMAN;
Effects of PIP2 hydrolysis,21,DGKB_HUMAN;TRPC6_HUMAN;TRPC7_HUMAN;DGKH_HUMAN;GRP2_HUMAN;DGKK_HUMAN;DGKD_HUMAN;ITPR1_HUMAN;ITPR3_HUMAN;ITPR2_HUMAN;DGKZ_HUMAN;TRPC3_HUMAN;KPCD_HUMAN;KPCT_HUMAN;KPCE_HUMAN;DGKQ_HUMAN;DGKE_HUMAN;DGKG_HUMAN;KPCL_HUMAN;DGKA_HUMAN;GRP1_HUMAN;
EGFR downregulation,23,EPN1_HUMAN;EP15R_HUMAN;SH3G3_HUMAN;SH3G2_HUMAN;SH3G1_HUMAN;SH3K1_HUMAN;STAM1_HUMAN;PTPRK_HUMAN;ARHG7_HUMAN;PTN12_HUMAN;RL40_HUMAN;RS27A_HUMAN;CDC42_HUMAN;EPS15_HUMAN;PTN3_HUMAN;CBL_HUMAN;UBC_HUMAN;UBB_HUMAN;EGF_HUMAN;EGFR_HUMAN;STAM2_HUMAN;SPY1_HUMAN;SPY2_HUMAN;
EGFR interacts with phospholipase C-gamma,2,PLCG1_HUMAN;EGF_HUMAN;
EGFR Transactivation by Gastrin,9,HBEGF_HUMAN;HBEGF_HUMAN;SOS1_HUMAN;KPCA_HUMAN;MMP3_HUMAN;MMP3_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;
Eicosanoids,12,CP8B1_HUMAN;CP4FC_HUMAN;CP4FB_HUMAN;CP4FN_HUMAN;CP4AM_HUMAN;PTGIS_HUMAN;CP4F3_HUMAN;CP4AB_HUMAN;CP4F8_HUMAN;CP4F2_HUMAN;THAS_HUMAN;CP4B1_HUMAN;
Elastic fibre formation,17,LOXL2_HUMAN;FBLN5_HUMAN;LOXL4_HUMAN;FBN3_HUMAN;MFAP5_HUMAN;LOXL1_HUMAN;LOXL3_HUMAN;MFAP2_HUMAN;FBN2_HUMAN;FBN1_HUMAN;LYOX_HUMAN;ITB6_HUMAN;ELN_HUMAN;FURIN_HUMAN;ITA5_HUMAN;ITAV_HUMAN;ITB1_HUMAN;
Electric Transmission Across Gap Junctions,4,CXD2_HUMAN;PANX1_HUMAN;PANX2_HUMAN;CXA10_HUMAN;
Electron transport from NADPH to Ferredoxin,2,ADXL_HUMAN;ADRO_HUMAN;
Elevation of cytosolic Ca2+ levels,15,TRPC6_HUMAN;P2RX2_HUMAN;TRPC7_HUMAN;P2RX7_HUMAN;P2RX4_HUMAN;ORAI2_HUMAN;CRCM1_HUMAN;P2RX5_HUMAN;ITPR1_HUMAN;ITPR3_HUMAN;ITPR2_HUMAN;STIM1_HUMAN;TRPC3_HUMAN;P2RX3_HUMAN;P2RX1_HUMAN;
Endogenous sterols,24,CP46A_HUMAN;CP39A_HUMAN;ARNT2_HUMAN;NR1H4_HUMAN;CP4V2_HUMAN;ADXL_HUMAN;CP51A_HUMAN;CP1B1_HUMAN;NCOA1_HUMAN;NCOA2_HUMAN;CP27A_HUMAN;AHR_HUMAN;ARNT_HUMAN;CP7A1_HUMAN;ADRO_HUMAN;RXRA_HUMAN;C11B2_HUMAN;C11B1_HUMAN;CP19A_HUMAN;ADX_HUMAN;CP21A_HUMAN;CP11A_HUMAN;CP17A_HUMAN;COLI_HUMAN;
Endosomal Sorting Complex Required For Transport (ESCRT),30,CHMP3_HUMAN;CHM2B_HUMAN;VPS4A_HUMAN;VPS28_HUMAN;CHMP5_HUMAN;UBAP1_HUMAN;VTA1_HUMAN;VP37B_HUMAN;MB12B_HUMAN;CHM4B_HUMAN;CHM4A_HUMAN;VPS25_HUMAN;TS101_HUMAN;SNF8_HUMAN;CHMP6_HUMAN;MB12A_HUMAN;CHM4C_HUMAN;STAM1_HUMAN;CHMP7_HUMAN;VP37A_HUMAN;VP37D_HUMAN;VPS36_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBC_HUMAN;UBB_HUMAN;STAM2_HUMAN;VPS4B_HUMAN;CHM2A_HUMAN;HGS_HUMAN;
Endosomal/Vacuolar pathway,78,LCAP_HUMAN;1C05_HUMAN;1C17_HUMAN;1B38_HUMAN;1B73_HUMAN;1B81_HUMAN;1C06_HUMAN;1C16_HUMAN;1B59_HUMAN;1C18_HUMAN;1B67_HUMAN;1B82_HUMAN;1A80_HUMAN;1C15_HUMAN;1B40_HUMAN;B2MG_HUMAN;1B35_HUMAN;1A29_HUMAN;HLAF_HUMAN;1C14_HUMAN;1C12_HUMAN;1C08_HUMAN;1C04_HUMAN;1C02_HUMAN;1C01_HUMAN;1B78_HUMAN;1B56_HUMAN;1B55_HUMAN;1B54_HUMAN;1B53_HUMAN;1B52_HUMAN;1B50_HUMAN;1B49_HUMAN;1B48_HUMAN;1B47_HUMAN;1B46_HUMAN;1B45_HUMAN;1B44_HUMAN;1B42_HUMAN;1B41_HUMAN;1B39_HUMAN;1B18_HUMAN;1B15_HUMAN;1B14_HUMAN;1B13_HUMAN;1B08_HUMAN;1A74_HUMAN;1A66_HUMAN;1A43_HUMAN;1A36_HUMAN;1A34_HUMAN;1A26_HUMAN;1A23_HUMAN;1A01_HUMAN;CATS_HUMAN;1B57_HUMAN;1B51_HUMAN;1B37_HUMAN;1A25_HUMAN;HLAG_HUMAN;1A33_HUMAN;1A31_HUMAN;1A30_HUMAN;HLAE_HUMAN;1A11_HUMAN;1C07_HUMAN;1B58_HUMAN;1A69_HUMAN;1A32_HUMAN;CATL1_HUMAN;1A24_HUMAN;1A03_HUMAN;1C03_HUMAN;1B27_HUMAN;HLAH_HUMAN;1A02_HUMAN;1A68_HUMAN;1B07_HUMAN;
Energy dependent regulation of mTOR by LKB1-AMPK,28,AAKB1_HUMAN;CAB39_HUMAN;LTOR2_HUMAN;LTOR3_HUMAN;AAKG2_HUMAN;AAKG3_HUMAN;RRAGD_HUMAN;RRAGC_HUMAN;CB39L_HUMAN;STRAB_HUMAN;LST8_HUMAN;TSC1_HUMAN;S38A9_HUMAN;RPTOR_HUMAN;STRAA_HUMAN;RRAGA_HUMAN;LTOR1_HUMAN;RRAGB_HUMAN;STK11_HUMAN;RHEB_HUMAN;AAPK1_HUMAN;LTOR4_HUMAN;AAPK2_HUMAN;AAKG1_HUMAN;TSC2_HUMAN;MTOR_HUMAN;PPM1A_HUMAN;AAKB2_HUMAN;
eNOS activation,9,CYGB_HUMAN;ZDH21_HUMAN;CAV1_HUMAN;SPRE_HUMAN;AKT1_HUMAN;NOS3_HUMAN;HS90A_HUMAN;DDAH2_HUMAN;DDAH1_HUMAN;
Entry of Influenza Virion into Host Cell via Endocytosis,1,CLH1_HUMAN;
Enzymatic degradation of dopamine by COMT,2,TOMT_HUMAN;COMT_HUMAN;
Enzymatic degradation of Dopamine by monoamine oxidase,1,COMT_HUMAN;
EPHA-mediated growth cone collapse,46,EPHA6_HUMAN;EPHA6_HUMAN;NGEF_HUMAN;NGEF_HUMAN;MYH14_HUMAN;EPHAA_HUMAN;EPHAA_HUMAN;EPHA7_HUMAN;EPHA7_HUMAN;ROCK1_HUMAN;RHOA_HUMAN;RHOA_HUMAN;MYL6_HUMAN;EPHA4_HUMAN;EPHA4_HUMAN;EPHA5_HUMAN;EPHA5_HUMAN;EFNA5_HUMAN;EFNA5_HUMAN;EFNA4_HUMAN;EFNA4_HUMAN;EFNA3_HUMAN;EFNA3_HUMAN;MYH11_HUMAN;MYH10_HUMAN;MYH9_HUMAN;EPHA8_HUMAN;EPHA8_HUMAN;EPHA3_HUMAN;EPHA3_HUMAN;EPHA2_HUMAN;EPHA2_HUMAN;MYL9_HUMAN;EPHA1_HUMAN;EPHA1_HUMAN;EFNA1_HUMAN;EFNA1_HUMAN;LYN_HUMAN;LYN_HUMAN;YES_HUMAN;YES_HUMAN;FYN_HUMAN;FYN_HUMAN;ROCK2_HUMAN;EFNA2_HUMAN;EFNA2_HUMAN;
EPHB-mediated forward signaling,61,ARC1A_HUMAN;ARG28_HUMAN;ITSN1_HUMAN;ITSN1_HUMAN;EFNB3_HUMAN;EFNB3_HUMAN;ROCK1_HUMAN;ROCK1_HUMAN;NMDE2_HUMAN;NMDE2_HUMAN;PAK1_HUMAN;TIAM1_HUMAN;NMDZ1_HUMAN;NMDZ1_HUMAN;FAK1_HUMAN;FAK1_HUMAN;EFNB1_HUMAN;EFNB1_HUMAN;ACTG_HUMAN;RAC1_HUMAN;RHOA_HUMAN;RHOA_HUMAN;ARP2_HUMAN;ARP3_HUMAN;CDC42_HUMAN;CDC42_HUMAN;ACTB_HUMAN;ARPC4_HUMAN;EPHB1_HUMAN;EPHB1_HUMAN;EPHB4_HUMAN;EPHB4_HUMAN;EPHB3_HUMAN;EPHB3_HUMAN;LIMK2_HUMAN;LIMK1_HUMAN;EFNB2_HUMAN;EFNB2_HUMAN;SDC2_HUMAN;EPHB2_HUMAN;EPHB2_HUMAN;COF1_HUMAN;RASA1_HUMAN;RASA1_HUMAN;LYN_HUMAN;LYN_HUMAN;YES_HUMAN;YES_HUMAN;FYN_HUMAN;FYN_HUMAN;RASH_HUMAN;ROCK2_HUMAN;ROCK2_HUMAN;KALRN_HUMAN;ARPC5_HUMAN;EPHB6_HUMAN;EPHB6_HUMAN;ARPC3_HUMAN;ARPC2_HUMAN;ARC1B_HUMAN;WASL_HUMAN;
EPH-ephrin mediated repulsion of cells,63,VAV3_HUMAN;EPHA6_HUMAN;EPHA6_HUMAN;PEN2_HUMAN;AP2M1_HUMAN;APH1A_HUMAN;NICA_HUMAN;APH1B_HUMAN;EPHAA_HUMAN;EPHAA_HUMAN;EFNB3_HUMAN;EPHA7_HUMAN;EPHA7_HUMAN;TIAM1_HUMAN;DYN1_HUMAN;CLH1_HUMAN;EFNB1_HUMAN;ACTG_HUMAN;AP2B1_HUMAN;RAC1_HUMAN;ACTB_HUMAN;EPHA4_HUMAN;EPHA4_HUMAN;EPHB1_HUMAN;EPHB4_HUMAN;EPHA5_HUMAN;EPHA5_HUMAN;EPHB3_HUMAN;AP2S1_HUMAN;CLH2_HUMAN;EFNA5_HUMAN;EFNA5_HUMAN;EFNB2_HUMAN;EFNA4_HUMAN;EFNA4_HUMAN;EFNA3_HUMAN;EFNA3_HUMAN;VAV2_HUMAN;PSN2_HUMAN;PSN1_HUMAN;EPHB2_HUMAN;EPHA8_HUMAN;EPHA8_HUMAN;EPHA3_HUMAN;EPHA3_HUMAN;EPHA2_HUMAN;EPHA2_HUMAN;EPHA1_HUMAN;EPHA1_HUMAN;EFNA1_HUMAN;EFNA1_HUMAN;MMP9_HUMAN;CLCB_HUMAN;CLCA_HUMAN;MMP2_HUMAN;LYN_HUMAN;YES_HUMAN;FYN_HUMAN;AP2A1_HUMAN;AP2A2_HUMAN;EFNA2_HUMAN;EFNA2_HUMAN;EPHB6_HUMAN;
EPH-Ephrin signaling,46,EPHA6_HUMAN;EPHA6_HUMAN;EPHAA_HUMAN;EPHAA_HUMAN;EFNB3_HUMAN;EFNB3_HUMAN;EPHA7_HUMAN;EPHA7_HUMAN;EFNB1_HUMAN;EFNB1_HUMAN;EPHA4_HUMAN;EPHA4_HUMAN;EPHB1_HUMAN;EPHB1_HUMAN;EPHB4_HUMAN;EPHB4_HUMAN;EPHA5_HUMAN;EPHA5_HUMAN;EPHB3_HUMAN;EPHB3_HUMAN;EFNA5_HUMAN;EFNA5_HUMAN;EFNB2_HUMAN;EFNB2_HUMAN;EFNA4_HUMAN;EFNA4_HUMAN;EFNA3_HUMAN;EFNA3_HUMAN;EPHB2_HUMAN;EPHB2_HUMAN;EPHA8_HUMAN;EPHA8_HUMAN;EPHA3_HUMAN;EPHA3_HUMAN;EPHA2_HUMAN;EPHA2_HUMAN;EPHA1_HUMAN;EPHA1_HUMAN;EFNA1_HUMAN;EFNA1_HUMAN;LYN_HUMAN;YES_HUMAN;FYN_HUMAN;EFNA2_HUMAN;EFNA2_HUMAN;EPHB6_HUMAN;
Ephrin signaling,27,GIT1_HUMAN;GIT1_HUMAN;EFNB3_HUMAN;EFNB3_HUMAN;ARHG7_HUMAN;PAK2_HUMAN;PAK1_HUMAN;EFNB1_HUMAN;EFNB1_HUMAN;RAC1_HUMAN;EPHB1_HUMAN;EPHB1_HUMAN;EPHB4_HUMAN;EPHB4_HUMAN;EPHB3_HUMAN;EPHB3_HUMAN;EFNB2_HUMAN;EFNB2_HUMAN;EPHB2_HUMAN;EPHB2_HUMAN;ML12A_HUMAN;FYN_HUMAN;FYN_HUMAN;PAK3_HUMAN;NCK2_HUMAN;EPHB6_HUMAN;EPHB6_HUMAN;
ER Quality Control Compartment (ERQC),20,AMFR_HUMAN;MA1B1_HUMAN;SE1L1_HUMAN;UGGG1_HUMAN;UGGG2_HUMAN;DERL2_HUMAN;EDEM3_HUMAN;EDEM2_HUMAN;RNF5_HUMAN;RN185_HUMAN;EDEM1_HUMAN;RN139_HUMAN;SYVN1_HUMAN;OS9_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBC_HUMAN;UBB_HUMAN;TRI13_HUMAN;MARH6_HUMAN;
ERBB2 Activates PTK6 Signaling,13,HBEGF_HUMAN;NRG4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;PTK6_HUMAN;NRG1_HUMAN;NRG1_HUMAN;NRG3_HUMAN;BTC_HUMAN;ERBB2_HUMAN;EGF_HUMAN;EGFR_HUMAN;EREG_HUMAN;
