pathway,m,proteins
IL4-mediated signaling events,65,CEBPB_HUMAN;CO1A1_HUMAN;LYAM3_HUMAN;MYB_HUMAN;CBL_HUMAN;LOX15_HUMAN;IRF4_HUMAN;MTOR_HUMAN;I13R1_HUMAN;I13R2_HUMAN;AICDA_HUMAN;JAK1_HUMAN;JAK2_HUMAN;FES_HUMAN;IGHG1_HUMAN;TFF3_HUMAN;STA5B_HUMAN;P85A_HUMAN;THY1_HUMAN;MYBA_HUMAN;STA5A_HUMAN;SHIP1_HUMAN;CCL17_HUMAN;IL2RG_HUMAN;MK14_HUMAN;PIGR_HUMAN;TNFB_HUMAN;SPI1_HUMAN;CO1A2_HUMAN;AKT1_HUMAN;FCER2_HUMAN;IGHE_HUMAN;CCL11_HUMAN;ARGI1_HUMAN;OPRM_HUMAN;PTN6_HUMAN;CD40L_HUMAN;PAR14_HUMAN;SOCS5_HUMAN;JAK3_HUMAN;;EGR2_HUMAN;IRS2_HUMAN;GRB2_HUMAN;IL4_HUMAN;IRS1_HUMAN;IL5_HUMAN;KS6B1_HUMAN;STAT6_HUMAN;SOCS1_HUMAN;ITB3_HUMAN;RETNB_HUMAN;ETS1_HUMAN;SP1_HUMAN;SHC1_HUMAN;BCL6_HUMAN;HMGA1_HUMAN;CCL26_HUMAN;IL4RA_HUMAN;IGHG3_HUMAN;PK3CA_HUMAN;IL10_HUMAN;DOK2_HUMAN;SOCS3_HUMAN;TF3A_HUMAN;
Neurotrophic factor-mediated Trk receptor signaling,65,ABL1_HUMAN;RASA1_HUMAN;CRKL_HUMAN;;NTF4_HUMAN;MP2K1_HUMAN;RHOA_HUMAN;ELMO1_HUMAN;STAT3_HUMAN;GIPC1_HUMAN;;SOS1_HUMAN;RASH_HUMAN;RAP1A_HUMAN;MATK_HUMAN;GAB1_HUMAN;CRK_HUMAN;RHOG_HUMAN;KPCI_HUMAN;MK03_HUMAN;;CDC42_HUMAN;RHG32_HUMAN;TNR16_HUMAN;DNJA3_HUMAN;NED4L_HUMAN;GAB2_HUMAN;NTF3_HUMAN;MK01_HUMAN;CCND1_HUMAN;DYN1_HUMAN;MAGD1_HUMAN;RIT2_HUMAN;DOCK1_HUMAN;RASN_HUMAN;NTRK2_HUMAN;RIT1_HUMAN;RAP1B_HUMAN;MCF2L_HUMAN;DYLT1_HUMAN;SHC1_HUMAN;SHC2_HUMAN;SQSTM_HUMAN;P85A_HUMAN;PTN11_HUMAN;KPCZ_HUMAN;SHC3_HUMAN;NTRK3_HUMAN;RGS19_HUMAN;SH2B1_HUMAN;PK3CA_HUMAN;;TIAM1_HUMAN;EHD4_HUMAN;FAIM1_HUMAN;NTRK1_HUMAN;GRB2_HUMAN;RGRF1_HUMAN;RAC1_HUMAN;FRS2_HUMAN;BDNF_HUMAN;NGF_HUMAN;FRS3_HUMAN;PLCG1_HUMAN;RPGF1_HUMAN;
Regulation of retinoblastoma protein,65,E2F2_HUMAN;ABL1_HUMAN;KCRM_HUMAN;ELF1_HUMAN;ATF2_HUMAN;RBBP4_HUMAN;CDN1B_HUMAN;MEF2C_HUMAN;MK09_HUMAN;MET_HUMAN;HDAC1_HUMAN;HDAC3_HUMAN;CCND3_HUMAN;E2F1_HUMAN;CDK2_HUMAN;PAX3_HUMAN;SKP2_HUMAN;CBX4_HUMAN;CDK4_HUMAN;CCNE1_HUMAN;TBP_HUMAN;MDM2_HUMAN;PPARG_HUMAN;SUV91_HUMAN;UBF1_HUMAN;MK11_HUMAN;CBP_HUMAN;TGFB2_HUMAN;SPI1_HUMAN;EP300_HUMAN;MITF_HUMAN;MYOD1_HUMAN;GSC_HUMAN;E2F3_HUMAN;SNF5_HUMAN;TAF1_HUMAN;;CDN1A_HUMAN;CCND2_HUMAN;PP2AA_HUMAN;CDK6_HUMAN;CTBP1_HUMAN;SFTPD_HUMAN;ATF7_HUMAN;RET2_HUMAN;MK14_HUMAN;DNMT1_HUMAN;CEBPA_HUMAN;AATF_HUMAN;OSTCN_HUMAN;RAF1_HUMAN;SIR1_HUMAN;E2F4_HUMAN;CEBPD_HUMAN;CSF2_HUMAN;RUNX2_HUMAN;P2R3B_HUMAN;TFDP1_HUMAN;CCND1_HUMAN;CEBPB_HUMAN;JUN_HUMAN;RB_HUMAN;CCNA2_HUMAN;SMCA4_HUMAN;BRD2_HUMAN;
IL12-mediated signaling events,63,MP2K6_HUMAN;CD3G_HUMAN;I12R1_HUMAN;RAB7A_HUMAN;LCK_HUMAN;GRAB_HUMAN;IL4_HUMAN;IL18_HUMAN;STAT1_HUMAN;JAK2_HUMAN;ATF2_HUMAN;STAT3_HUMAN;2B11_HUMAN;NFKB1_HUMAN;CD4_HUMAN;TYK2_HUMAN;I18RA_HUMAN;NOS2_HUMAN;RIPK2_HUMAN;IL1B_HUMAN;SOCS1_HUMAN;EOMES_HUMAN;IL2RB_HUMAN;CCL4_HUMAN;IL12A_HUMAN;RELB_HUMAN;CD3Z_HUMAN;B2MG_HUMAN;IL12B_HUMAN;DRA_HUMAN;CD3D_HUMAN;CCR5_HUMAN;I12R2_HUMAN;MTOR_HUMAN;GRAA_HUMAN;GA45G_HUMAN;GA45B_HUMAN;IL2RG_HUMAN;NFKB2_HUMAN;TBX21_HUMAN;PP2BB_HUMAN;FOS_HUMAN;1A03_HUMAN;MP2K3_HUMAN;STA5A_HUMAN;CD8A_HUMAN;TF65_HUMAN;STAT4_HUMAN;IL1R1_HUMAN;CD3E_HUMAN;PP2BA_HUMAN;CD8B_HUMAN;MK14_HUMAN;STAT6_HUMAN;IL2_HUMAN;IL2RA_HUMAN;TNFL6_HUMAN;CANB1_HUMAN;SPHK2_HUMAN;IL18R_HUMAN;CCL3_HUMAN;HLX_HUMAN;IFNG_HUMAN;
Validated targets of C-MYC transcriptional repression,63,TF2H2_HUMAN;NDRG1_HUMAN;T126A_HUMAN;ZBT17_HUMAN;LEG1_HUMAN;PGFRB_HUMAN;MAX_HUMAN;PTPA_HUMAN;CREB1_HUMAN;IRF8_HUMAN;TSC2_HUMAN;DNM3A_HUMAN;HMCS2_HUMAN;FOXO3_HUMAN;SFRP1_HUMAN;NDRG2_HUMAN;TBP_HUMAN;ITA6_HUMAN;SP1_HUMAN;RBL1_HUMAN;MYC_HUMAN;BRCA1_HUMAN;ZO2_HUMAN;CEBPA_HUMAN;ID2_HUMAN;FRIH_HUMAN;HDAC1_HUMAN;CEBPD_HUMAN;CFLAR_HUMAN;CCL5_HUMAN;CDN2B_HUMAN;DKK1_HUMAN;NFYB_HUMAN;SMAD2_HUMAN;S10A7_HUMAN;SMAD3_HUMAN;NFYC_HUMAN;SMAD4_HUMAN;AL9A1_HUMAN;NRAM1_HUMAN;BCL2_HUMAN;EP300_HUMAN;CSDE1_HUMAN;WNT5A_HUMAN;CO1A2_HUMAN;TDT_HUMAN;GA45A_HUMAN;CDN1A_HUMAN;NFYA_HUMAN;ERBB2_HUMAN;DDIT3_HUMAN;TISB_HUMAN;MAD4_HUMAN;CDN1B_HUMAN;SPI1_HUMAN;ITB1_HUMAN;ITB4_HUMAN;TEFF2_HUMAN;GFI1_HUMAN;CLUS_HUMAN;SFXN3_HUMAN;CCND1_HUMAN;HDAC3_HUMAN;
Coregulation of Androgen receptor activity,62,AKT1_HUMAN;PAWR_HUMAN;ROA1_HUMAN;FAK2_HUMAN;NCOA4_HUMAN;CDK6_HUMAN;FHL2_HUMAN;CTDS1_HUMAN;GELS_HUMAN;KLK3_HUMAN;KLK2_HUMAN;BRCA1_HUMAN;NRIP1_HUMAN;SVIL_HUMAN;VAV3_HUMAN;CTNB1_HUMAN;CASP8_HUMAN;CTDS2_HUMAN;;CARM1_HUMAN;;DP13A_HUMAN;HIP1_HUMAN;UBA3_HUMAN;TMPS2_HUMAN;NKX31_HUMAN;NCOA2_HUMAN;;KS6A3_HUMAN;PIAS4_HUMAN;KDM3A_HUMAN;PA2G4_HUMAN;KDM4C_HUMAN;MED1_HUMAN;FKBP4_HUMAN;CCND1_HUMAN;UBE3A_HUMAN;TMF1_HUMAN;PRDX1_HUMAN;PIAS1_HUMAN;XRCC6_HUMAN;CCND3_HUMAN;LATS2_HUMAN;UBC9_HUMAN;TGIF1_HUMAN;;XRCC5_HUMAN;PELP1_HUMAN;CKLF2_HUMAN;KDM1A_HUMAN;PRKDC_HUMAN;SRF_HUMAN;SNURF_HUMAN;TGFI1_HUMAN;ZMIZ1_HUMAN;PATZ1_HUMAN;ANDR_HUMAN;MAK_HUMAN;PIAS3_HUMAN;NCOA6_HUMAN;ITF2_HUMAN;;
Fc-epsilon receptor I signaling in mast cells,62,SOS1_HUMAN;JUN_HUMAN;GRB2_HUMAN;LPP1_HUMAN;DOK1_HUMAN;P85A_HUMAN;LYN_HUMAN;RASA1_HUMAN;RASH_HUMAN;MP2K1_HUMAN;PTN13_HUMAN;AKT1_HUMAN;PA24A_HUMAN;MK03_HUMAN;KPCB_HUMAN;RAF1_HUMAN;PAK2_HUMAN;PA21B_HUMAN;FCG2B_HUMAN;NTAL_HUMAN;BTK_HUMAN;HCLS1_HUMAN;FYN_HUMAN;TF65_HUMAN;MK01_HUMAN;GAB2_HUMAN;DUS1_HUMAN;SPHK1_HUMAN;IGHE_HUMAN;IKKA_HUMAN;SHIP1_HUMAN;CBLB_HUMAN;S1PR1_HUMAN;M3K1_HUMAN;PTN11_HUMAN;LCP2_HUMAN;IKKB_HUMAN;KLRG1_HUMAN;FCERA_HUMAN;FCERB_HUMAN;FCERG_HUMAN;KSYK_HUMAN;VAV_HUMAN;WIPF1_HUMAN;FER_HUMAN;ITK_HUMAN;PK3CA_HUMAN;NFAC2_HUMAN;MP2K7_HUMAN;CBL_HUMAN;SHC1_HUMAN;MP2K2_HUMAN;MK08_HUMAN;;LAT_HUMAN;PLD2_HUMAN;NFKB1_HUMAN;MP2K4_HUMAN;NEMO_HUMAN;FOS_HUMAN;PAXI_HUMAN;PLCG1_HUMAN;
ATF-2 transcription factor network,59,BCL2_HUMAN;CCNA2_HUMAN;KPCA_HUMAN;HBG2_HUMAN;TY3H_HUMAN;IL8_HUMAN;GA45A_HUMAN;DUS5_HUMAN;H2AY_HUMAN;PRGC1_HUMAN;COOA1_HUMAN;MK14_HUMAN;KAT5_HUMAN;CSRP2_HUMAN;IL23A_HUMAN;PGFRA_HUMAN;NOS2_HUMAN;JUN_HUMAN;ESR1_HUMAN;CREB1_HUMAN;BRCA1_HUMAN;RUVB2_HUMAN;MK01_HUMAN;ATF2_HUMAN;MK03_HUMAN;EP300_HUMAN;SPB5_HUMAN;MK09_HUMAN;INS_HUMAN;DDIT3_HUMAN;DUS1_HUMAN;NF1_HUMAN;ACES_HUMAN;CCND1_HUMAN;FOS_HUMAN;CUL3_HUMAN;RB_HUMAN;ARGI1_HUMAN;IFNG_HUMAN;DUS8_HUMAN;MK08_HUMAN;UROK_HUMAN;LYAM2_HUMAN;CDK4_HUMAN;MK11_HUMAN;JDP2_HUMAN;JUNB_HUMAN;ATF3_HUMAN;DUS10_HUMAN;MMP2_HUMAN;PO2F1_HUMAN;IL6_HUMAN;PEBB_HUMAN;;TGFB2_HUMAN;SOCS3_HUMAN;HES1_HUMAN;JUND_HUMAN;HRK_HUMAN;
FGF signaling pathway,59,FGFR1_HUMAN;FGF4_HUMAN;MET_HUMAN;CADH2_HUMAN;PDPK1_HUMAN;UROK_HUMAN;FGFR2_HUMAN;STA5B_HUMAN;FGF8_HUMAN;PTN11_HUMAN;SHC1_HUMAN;FGF2_HUMAN;MK01_HUMAN;I17RD_HUMAN;STAT1_HUMAN;P85A_HUMAN;AKT1_HUMAN;SPY2_HUMAN;SOS1_HUMAN;KS6A1_HUMAN;FOS_HUMAN;GAB1_HUMAN;FAK2_HUMAN;CADH1_HUMAN;JUN_HUMAN;FRS2_HUMAN;CTND1_HUMAN;FGF23_HUMAN;MK03_HUMAN;KCC2A_HUMAN;SSH1_HUMAN;MMP9_HUMAN;GRB2_HUMAN;PAK4_HUMAN;SDC2_HUMAN;SRC8_HUMAN;FGF9_HUMAN;RUNX2_HUMAN;;OSTCN_HUMAN;FGF19_HUMAN;HGF_HUMAN;CBL_HUMAN;NCAM1_HUMAN;OSTP_HUMAN;FGF1_HUMAN;;KLOTB_HUMAN;SRC_HUMAN;PK3CA_HUMAN;UPAR_HUMAN;;;FGF18_HUMAN;PLCG1_HUMAN;;FGFR4_HUMAN;FGF17_HUMAN;FGF6_HUMAN;
Notch signaling pathway,59,NCOR1_HUMAN;NOTC1_HUMAN;DTX1_HUMAN;FURIN_HUMAN;SSPO_HUMAN;DLL1_HUMAN;DYN1_HUMAN;PTCRA_HUMAN;RB11A_HUMAN;NEU1A_HUMAN;CTBP1_HUMAN;FBXW7_HUMAN;NUMB_HUMAN;CBL_HUMAN;MFAP2_HUMAN;MYCBP_HUMAN;DLL4_HUMAN;MAML1_HUMAN;MINT_HUMAN;MYC_HUMAN;SKP2_HUMAN;CNTN6_HUMAN;NOTC2_HUMAN;PSN1_HUMAN;MAML2_HUMAN;TYY1_HUMAN;GATA3_HUMAN;ENOA_HUMAN;ITCH_HUMAN;IL4_HUMAN;APH1B_HUMAN;LNX1_HUMAN;NCOR2_HUMAN;SUH_HUMAN;CDN1A_HUMAN;JAG2_HUMAN;ADA12_HUMAN;DLK1_HUMAN;EPS15_HUMAN;DNER_HUMAN;SKP1_HUMAN;NOTC3_HUMAN;COM1_HUMAN;NOTC4_HUMAN;JAG1_HUMAN;APH1A_HUMAN;DLL3_HUMAN;PEN2_HUMAN;MFAP5_HUMAN;NICA_HUMAN;CCND1_HUMAN;EP300_HUMAN;HDAC1_HUMAN;MARK2_HUMAN;MIB1_HUMAN;ADA10_HUMAN;CUL1_HUMAN;CNTN1_HUMAN;KDM1A_HUMAN;
p53 pathway,59,PIN1_HUMAN;GSK3B_HUMAN;MK09_HUMAN;TYY1_HUMAN;KC1D_HUMAN;CBP_HUMAN;TTC5_HUMAN;HIPK2_HUMAN;XPO2_HUMAN;KC1E_HUMAN;TPIP1_HUMAN;CHK1_HUMAN;KC1G3_HUMAN;NEDD8_HUMAN;KC1G1_HUMAN;SMYD2_HUMAN;ANM5_HUMAN;CCNG1_HUMAN;MK14_HUMAN;MK08_HUMAN;ABL1_HUMAN;RASF1_HUMAN;DYRK2_HUMAN;UB2D1_HUMAN;RFWD2_HUMAN;AKT1_HUMAN;KC1G2_HUMAN;;DAXX_HUMAN;P53_HUMAN;EP300_HUMAN;KAT8_HUMAN;FBX11_HUMAN;CDK2_HUMAN;MDM2_HUMAN;RL23_HUMAN;IASPP_HUMAN;RL5_HUMAN;KAT5_HUMAN;ATR_HUMAN;MDM4_HUMAN;E4F1_HUMAN;SETD7_HUMAN;UBP7_HUMAN;CCNA2_HUMAN;KAT2B_HUMAN;TIF1B_HUMAN;HUWE1_HUMAN;PP2AA_HUMAN;KPCD_HUMAN;RL11_HUMAN;SKP2_HUMAN;PTPA_HUMAN;CHK2_HUMAN;KC1A_HUMAN;ZN363_HUMAN;ATM_HUMAN;PPM1D_HUMAN;SETD8_HUMAN;
SHP2 signaling,59,EGFR_HUMAN;NTRK2_HUMAN;RHOA_HUMAN;GNAI3_HUMAN;IL2_HUMAN;NTF4_HUMAN;IL2RA_HUMAN;IL6RA_HUMAN;IRS1_HUMAN;SOS1_HUMAN;ANGP1_HUMAN;EGF_HUMAN;IFNG_HUMAN;RASN_HUMAN;NOS3_HUMAN;KAPCA_HUMAN;FRS2_HUMAN;TIE2_HUMAN;IL2RG_HUMAN;;;INGR1_HUMAN;STAT1_HUMAN;PGFRB_HUMAN;IGF1_HUMAN;GNAI1_HUMAN;BDNF_HUMAN;RHG35_HUMAN;PK3CA_HUMAN;PTN11_HUMAN;JAK2_HUMAN;GRB2_HUMAN;MP2K1_HUMAN;IL2RB_HUMAN;AFAD_HUMAN;PDGFB_HUMAN;;FRS3_HUMAN;PHAG1_HUMAN;P85A_HUMAN;SDC2_HUMAN;GAB2_HUMAN;JAK1_HUMAN;;IGF1R_HUMAN;RAF1_HUMAN;LMO4_HUMAN;LCK_HUMAN;IL6RB_HUMAN;SHC1_HUMAN;IL6_HUMAN;;VGFR2_HUMAN;MP2K2_HUMAN;GAB1_HUMAN;RASH_HUMAN;JAK3_HUMAN;NTF3_HUMAN;NGF_HUMAN;
Signaling events mediated by focal adhesion kinase,59,ASAP1_HUMAN;PTN21_HUMAN;JUN_HUMAN;RAP1A_HUMAN;RHG26_HUMAN;PLCG1_HUMAN;JIP3_HUMAN;ITA5_HUMAN;CAN2_HUMAN;MP2K4_HUMAN;RGNEF_HUMAN;RAC1_HUMAN;GRB7_HUMAN;WASL_HUMAN;ELMO1_HUMAN;GIT2_HUMAN;PAXI_HUMAN;P85A_HUMAN;YES_HUMAN;RPGF1_HUMAN;SOS1_HUMAN;FYN_HUMAN;NCK2_HUMAN;VINC_HUMAN;SRC_HUMAN;BRAF_HUMAN;RASA1_HUMAN;BMX_HUMAN;ACTS_HUMAN;RAP1B_HUMAN;DOCK1_HUMAN;ITB1_HUMAN;;RAF1_HUMAN;TLN1_HUMAN;ACTN1_HUMAN;MMP14_HUMAN;PAK1_HUMAN;MK09_HUMAN;MK08_HUMAN;PK3CA_HUMAN;ITAV_HUMAN;GRB2_HUMAN;NCK1_HUMAN;ARHGB_HUMAN;RHG35_HUMAN;RHOA_HUMAN;ITB5_HUMAN;CCND1_HUMAN;MP2K1_HUMAN;MK01_HUMAN;ETS1_HUMAN;CRK_HUMAN;KLF8_HUMAN;RRAS_HUMAN;ARHG7_HUMAN;BCAR1_HUMAN;ROCK2_HUMAN;SH3G1_HUMAN;
Thromboxane A2 receptor signaling,59,TA2R_HUMAN;KPCA_HUMAN;ARBK1_HUMAN;RB11A_HUMAN;GBB1_HUMAN;GNA14_HUMAN;ARHG1_HUMAN;LYN_HUMAN;KPCE_HUMAN;FGR_HUMAN;RHOA_HUMAN;RAC1_HUMAN;BLK_HUMAN;VCAM1_HUMAN;KPCT_HUMAN;KPCD_HUMAN;GNAQ_HUMAN;EGFR_HUMAN;KPCZ_HUMAN;KAPCA_HUMAN;PD2R_HUMAN;;LYAM2_HUMAN;MK14_HUMAN;GNA12_HUMAN;AKT1_HUMAN;GNAI2_HUMAN;TGM2_HUMAN;NOS3_HUMAN;ROCK1_HUMAN;PI3R5_HUMAN;NHRF1_HUMAN;PLCB2_HUMAN;PK3CG_HUMAN;SRC_HUMAN;KSYK_HUMAN;YES_HUMAN;PI3R6_HUMAN;DYN1_HUMAN;ICAM1_HUMAN;LCK_HUMAN;ARRC_HUMAN;KPCL_HUMAN;GBG2_HUMAN;FYN_HUMAN;;KGP1_HUMAN;HCK_HUMAN;MK11_HUMAN;ARBK2_HUMAN;GNA11_HUMAN;PI2R_HUMAN;GBB5_HUMAN;GNA15_HUMAN;GNA13_HUMAN;KPCG_HUMAN;;ARRB2_HUMAN;EGF_HUMAN;
Validated transcriptional targets of TAp63 isoforms,57,EP300_HUMAN;FLOT2_HUMAN;SMRD3_HUMAN;TRAF4_HUMAN;;APR_HUMAN;NOC2L_HUMAN;;IKKB_HUMAN;PML_HUMAN;SPB5_HUMAN;JAG1_HUMAN;ITCH_HUMAN;CABL1_HUMAN;GDF15_HUMAN;CDN1A_HUMAN;AEN_HUMAN;ADRO_HUMAN;CLCA2_HUMAN;IBP3_HUMAN;;;ABL1_HUMAN;AP2C_HUMAN;GPX2_HUMAN;;1433T_HUMAN;;ITA3_HUMAN;BBC3_HUMAN;GA45A_HUMAN;PLK1_HUMAN;EGR2_HUMAN;DICER_HUMAN;SSPO_HUMAN;VDR_HUMAN;SP1_HUMAN;NQO1_HUMAN;ITB4_HUMAN;OGG1_HUMAN;BAX_HUMAN;KPCD_HUMAN;TNR6_HUMAN;MFGM_HUMAN;PERP_HUMAN;ADA_HUMAN;EVPL_HUMAN;SHH_HUMAN;WWP1_HUMAN;SSRP1_HUMAN;QORX_HUMAN;IKKA_HUMAN;HBP1_HUMAN;MDM2_HUMAN;MIEAP_HUMAN;DHRS3_HUMAN;S10A2_HUMAN;
IL2-mediated signaling events,56,STAM2_HUMAN;IRS2_HUMAN;MYC_HUMAN;STAT3_HUMAN;RASN_HUMAN;IFNG_HUMAN;RASH_HUMAN;;MK01_HUMAN;SOS1_HUMAN;DOK2_HUMAN;RASA1_HUMAN;SOCS1_HUMAN;PK3CA_HUMAN;SOCS3_HUMAN;CISH_HUMAN;STAT1_HUMAN;KSYK_HUMAN;MP2K1_HUMAN;;SOCS2_HUMAN;RAF1_HUMAN;PTN11_HUMAN;JAK1_HUMAN;JAK3_HUMAN;LCK_HUMAN;FYN_HUMAN;STA5B_HUMAN;IKZF3_HUMAN;P85A_HUMAN;GRB2_HUMAN;KPCB_HUMAN;GAB2_HUMAN;MK09_HUMAN;BCL2_HUMAN;IL2RA_HUMAN;MP2K2_HUMAN;JUN_HUMAN;FAK2_HUMAN;IRS1_HUMAN;MK08_HUMAN;STA5A_HUMAN;2A5D_HUMAN;STAM1_HUMAN;MAPK2_HUMAN;MK03_HUMAN;MK11_HUMAN;IL2RG_HUMAN;CDK2_HUMAN;KPCE_HUMAN;IL2_HUMAN;SHC1_HUMAN;FOS_HUMAN;MK14_HUMAN;IL2RB_HUMAN;RHOA_HUMAN;
Role of Calcineurin-dependent NFAT signaling in lymphocytes,56,KPCE_HUMAN;PIM1_HUMAN;CHP1_HUMAN;KPCA_HUMAN;KPCT_HUMAN;MK14_HUMAN;NU214_HUMAN;BAX_HUMAN;CBP_HUMAN;CANB1_HUMAN;1433G_HUMAN;1433F_HUMAN;1433S_HUMAN;KCC4_HUMAN;KPCZ_HUMAN;NR4A1_HUMAN;BCL2_HUMAN;CALM_HUMAN;RAN_HUMAN;1433Z_HUMAN;NFAC2_HUMAN;KAPCA_HUMAN;RCAN1_HUMAN;M3K1_HUMAN;NFAC1_HUMAN;IMB1_HUMAN;MEF2D_HUMAN;MK03_HUMAN;1433E_HUMAN;M3K8_HUMAN;CASP3_HUMAN;KC1A_HUMAN;AKAP5_HUMAN;CSK21_HUMAN;PP2BB_HUMAN;1433T_HUMAN;KPCG_HUMAN;;FKBP8_HUMAN;NFAC3_HUMAN;1433B_HUMAN;MK09_HUMAN;;IMA2_HUMAN;EP300_HUMAN;MK08_HUMAN;BAD_HUMAN;XPO1_HUMAN;RCAN2_HUMAN;PP2BA_HUMAN;FKB1A_HUMAN;CABIN_HUMAN;KPCD_HUMAN;;GSK3B_HUMAN;KPCL_HUMAN;
TCR signaling in na&#xef;ve CD8+ T cells,55,CRCM1_HUMAN;;CSK_HUMAN;NEMO_HUMAN;RAP1A_HUMAN;LCP2_HUMAN;FYN_HUMAN;CD80_HUMAN;M3K14_HUMAN;LAT_HUMAN;CBL_HUMAN;VAV_HUMAN;PDPK1_HUMAN;CD86_HUMAN;1A03_HUMAN;ZAP70_HUMAN;PHAG1_HUMAN;AKT1_HUMAN;MALT1_HUMAN;CD8A_HUMAN;TRAF6_HUMAN;IKKA_HUMAN;CD3G_HUMAN;PLCG1_HUMAN;CAR11_HUMAN;M3K8_HUMAN;;CD8B_HUMAN;PTN6_HUMAN;RASN_HUMAN;IKKB_HUMAN;CD3Z_HUMAN;LCK_HUMAN;;;KPCB_HUMAN;B2MG_HUMAN;GRP2_HUMAN;RASF5_HUMAN;CD3E_HUMAN;CD28_HUMAN;SOS1_HUMAN;PERF_HUMAN;GRP1_HUMAN;GRAP2_HUMAN;BCL10_HUMAN;RASH_HUMAN;KPCE_HUMAN;KPCT_HUMAN;TRPV6_HUMAN;STIM1_HUMAN;KPCA_HUMAN;CD3D_HUMAN;PTPRC_HUMAN;GRB2_HUMAN;
TGF-beta receptor signaling,55,PML_HUMAN;AXIN1_HUMAN;PAR6A_HUMAN;NED4L_HUMAN;XIAP_HUMAN;M3K7_HUMAN;STRAP_HUMAN;SMAD3_HUMAN;SHC1_HUMAN;RN111_HUMAN;KS6B1_HUMAN;ZFYV9_HUMAN;SKIL_HUMAN;ARRB2_HUMAN;DACT2_HUMAN;TGBR3_HUMAN;SMAD2_HUMAN;PDPK1_HUMAN;DAXX_HUMAN;SMAD4_HUMAN;PP2AA_HUMAN;WWP1_HUMAN;CTGF_HUMAN;CTNB1_HUMAN;TGFB2_HUMAN;TGFA1_HUMAN;PR15A_HUMAN;KCC2A_HUMAN;DLRB1_HUMAN;ZFY16_HUMAN;RHOA_HUMAN;2ABA_HUMAN;CAV1_HUMAN;SPTB2_HUMAN;PP2AB_HUMAN;YAP1_HUMAN;TGFB3_HUMAN;SMUF1_HUMAN;PP1A_HUMAN;DAB2_HUMAN;TGFR1_HUMAN;TGFB1_HUMAN;FKB1A_HUMAN;TAB2_HUMAN;BAMBI_HUMAN;TAB1_HUMAN;TGFR2_HUMAN;SOS1_HUMAN;ITCH_HUMAN;SMUF2_HUMAN;1433E_HUMAN;SMAD7_HUMAN;OCLN_HUMAN;GRB2_HUMAN;EIF2A_HUMAN;
RAC1 signaling pathway,54,NOXA1_HUMAN;GDIR1_HUMAN;ABI2_HUMAN;PAK1_HUMAN;RGAP1_HUMAN;ARP3_HUMAN;JUN_HUMAN;PI51C_HUMAN;WASF2_HUMAN;MK14_HUMAN;PI51B_HUMAN;ARPC4_HUMAN;MP2K4_HUMAN;NOX1_HUMAN;LIMK1_HUMAN;MK08_HUMAN;CY24B_HUMAN;ABI1_HUMAN;COF1_HUMAN;STA5A_HUMAN;NOXO1_HUMAN;ARP2_HUMAN;MP2K6_HUMAN;PAK2_HUMAN;CYFP2_HUMAN;IQGA3_HUMAN;MK09_HUMAN;ARPC5_HUMAN;MP2K7_HUMAN;MP2K3_HUMAN;STAT3_HUMAN;ARPC3_HUMAN;PLCB2_HUMAN;ATF2_HUMAN;CRK_HUMAN;IQGA1_HUMAN;CTNA1_HUMAN;BAIP2_HUMAN;WASF1_HUMAN;NCF2_HUMAN;M3K11_HUMAN;NCF1_HUMAN;CTNB1_HUMAN;BRK1_HUMAN;NCKP1_HUMAN;BCAR1_HUMAN;RHG05_HUMAN;CADH1_HUMAN;PI51A_HUMAN;ARPC2_HUMAN;RAC1_HUMAN;ARC1B_HUMAN;CY24A_HUMAN;M3K1_HUMAN;
Regulation of Androgen receptor activity,54,NCOA1_HUMAN;ANDR_HUMAN;ZN363_HUMAN;HDAC7_HUMAN;HDAC1_HUMAN;RXRA_HUMAN;APBP2_HUMAN;KAT2B_HUMAN;GATA2_HUMAN;PO2F1_HUMAN;NR2C2_HUMAN;NCOA2_HUMAN;FOXO1_HUMAN;EGR1_HUMAN;MP2K4_HUMAN;PKN1_HUMAN;CARM1_HUMAN;EP300_HUMAN;GSK3B_HUMAN;MDM2_HUMAN;HS90A_HUMAN;SPDEF_HUMAN;;SENP1_HUMAN;SIR1_HUMAN;MK08_HUMAN;HXB13_HUMAN;CBP_HUMAN;CEBPA_HUMAN;SRY_HUMAN;KAT7_HUMAN;EHMT2_HUMAN;SRC_HUMAN;GCR_HUMAN;TIF1A_HUMAN;SMCE1_HUMAN;REL_HUMAN;KAT5_HUMAN;ZMIZ2_HUMAN;SMRC1_HUMAN;TMPS2_HUMAN;GBLP_HUMAN;PDE9A_HUMAN;MK14_HUMAN;KLK2_HUMAN;DNJA1_HUMAN;;NR0B1_HUMAN;RXRG_HUMAN;JUN_HUMAN;NR2C1_HUMAN;KLK3_HUMAN;SMCA2_HUMAN;MP2K6_HUMAN;
